Model	Fiyat	Yil	Motor-Hacmi	Kilometre	Yakit	Seri	Kimden	Marka	Takasa-Uygun	Boya-Degisen	Vites-Tipi	Ilan-Tarihi	Ilan-No	Mekan
1.6 Elegance	 34.900 TL 	2001	1595 cc	224.000 km	Benzin	Octavia	Galeriden	Skoda	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264287	ANKARA / ALTINDAĞ / ZÜBEYDE HANIM MAHALLESİ	
1.6 Authentique	 31.500 TL 	2004	1401 - 1600 cm3	101.000 km	Benzin	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265654	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.4 RT	 12.750 TL 	1997	1390 cc	182.850 km	Benzin	Clio	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	27 Ağustos 2019	12139624	İSTANBUL / KADIKÖY / BOSTANCI MAHALLESİ	
1.4 Spring	 11.750 TL 	1994	1390 cc	322.593 km	Benzin	R 9	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12183862	ZONGULDAK / EREĞLİ / KEPEZ MAHALLESİ	
1.2 EL	 17.750 TL 	2002	1242 cc	208.000 km	Benzin	Siena	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265674	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 i-VTEC Premium	 47.900 TL 	2010	1595 cc	175.600 km	LPG & Benzin	Civic	Sahibinden	Honda	Takasa Uygun Değil	3 değişen, 3 boyalı	Düz	14 Eylül 2019	12264718	MUŞ / MERKEZ / HÜRRİYET MAHALLESİ	
A3 Cabrio 1.4 TFSI Ambiente	 227.000 TL 	2016	1395 cc	6.442 km	Benzin	A3	Galeriden	Audi	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264144	İZMİR / KONAK / MERSİNLİ MAHALLESİ	
1.3 Multijet Lounge	 63.000 TL 	2015	1248 cc	63.000 km	Dizel	Linea	Sahibinden	Fiat	Takasa Uygun Değil	3 boyalı	Düz	14 Eylül 2019	12264082	İZMİR / BORNOVA / İNÖNÜ MAHALLESİ	
1.5 GLS	 23.500 TL 	1999	1495 cc	190.000 km	LPG & Benzin	Accent	Galeriden	Hyundai	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12197980	ÇORUM / MERKEZ / BUHARAEVLER MAHALLESİ	
116d ED EfficientDynamics	 122.500 TL 	2015	1496 cc	44.000 km	Dizel	1 Serisi	Galeriden	BMW	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12260264	ERZİNCAN / ÜZÜMLÜ / YUNUS EMRE MAHALLESİ	
1.6 TDi Trendline	 89.500 TL 	2017	1401 - 1600 cm3	70.500 km	Dizel	Polo	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264819	ANTALYA / MURATPAŞA / YEŞİLKÖY MAHALLESİ	
1.2 EL	 19.500 TL 	2001	1242 cc	169.000 km	Benzin	Siena	Galeriden	Fiat	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264477	İSTANBUL / ŞİŞLİ / YAYLA MAHALLESİ	
1.6 Reference	 49.999 TL 	2006	1595 cc	172.000 km	LPG & Benzin	Leon	Sahibinden	Seat	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265615	İSTANBUL / BEYLİKDÜZÜ / YAKUPLU MAHALLESİ	
1.6 HDi Feel	 68.750 TL 	2017	1560 cc	49.000 km	Dizel	C-Elysee	Galeriden	Citroen	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264433	İSTANBUL / BAHÇELİEVLER / BAHÇELİEVLER MAHALLESİ	
1.1 EX	 27.500 TL 	2006	1201 - 1400 cm3	147.000 km	Benzin	Picanto	Galeriden	Kia	Takasa Uygun	3 boyalı	Düz	13 Eylül 2019	12264963	ADANA / SEYHAN / YEŞİLOBA MAHALLESİ	
Diesel	 600.000 TL 	2015	2967 cc	110.151 km	Dizel	Panamera	Galeriden	Porsche	Takasa Uygun Değil	1 değişen, 2 boyalı	Otomatik	14 Eylül 2019	12265463	İSTANBUL / ŞİŞLİ / TEŞVİKİYE MAHALLESİ	
1.2 TDi Trendline	 55.750 TL 	2013	1199 cc	201.000 km	Dizel	Polo	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265626	NİĞDE / BOR / CIĞIZOĞLU OSMAN EFENDİ MAHALLESİ	
1.6 HDi Confort	 54.900 TL 	2016	1560 cc	128.000 km	Dizel	C-Elysee	Galeriden	Citroen	Takasa Uygun	2 boyalı	Düz	13 Eylül 2019	12264722	KOCAELİ / İZMİT / KÖRFEZ MAHALLESİ	
1.6 TDi BlueMotion Trendline	 121.000 TL 	2015	1401 - 1600 cm3	125.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265595	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.5 dCi Joy	 42.500 TL 	2014	1461 cc	173.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun Değil	1 değişen, 3 boyalı	Düz	14 Eylül 2019	12265456	İSTANBUL / KADIKÖY / DUMLUPINAR MAHALLESİ	
1.6 Coupe	 120.000 TL 	2012	1200 cm3' e kadar	95.000 km	Benzin	Cooper S	Galeriden	MINI	Takasa Uygun	Belirtilmemiş	Otomatik	06 Eylül 2019	12203903	İSTANBUL / BAKIRKÖY / KARTALTEPE MAHALLESİ	
1.3 Multijet Pop	 44.750 TL 	2013	1248 cc	118.000 km	Dizel	Punto	Sahibinden	Fiat	Takasa Uygun Değil	1 boyalı	Düz	14 Eylül 2019	12264958	ADIYAMAN / MERKEZ / ALTINŞEHİR MAHALLESİ	
520i Comfort Plus	 335.000 TL 	2018	1401 - 1600 cm3	33.000 km	Benzin	5 Serisi	Galeriden	BMW	Takasa Uygun Değil	Belirtilmemiş	Otomatik	11 Eylül 2019	12246849	İSTANBUL / KADIKÖY / GÖZTEPE MAHALLESİ	
1.6 i-VTEC LS	 35.750 TL 	2001	1401 - 1600 cm3	199.000 km	Benzin	Civic	Galeriden	Honda	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265492	KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ	
1.6 TDCi Ghia	 48.500 TL 	2005	1560 cc	170.128 km	Dizel	C-Max	Sahibinden	Ford	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12264233	MUĞLA / MİLAS / EMEK MAHALLESİ	
1.5 dCi Joy	 56.500 TL 	2016	1461 cc	80.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263762	TRABZON / OF / İRFANLI MAHALLESİ	
1.3 Terra	 39.000 TL 	2006	1296 cc	184.000 km	LPG & Benzin	Yaris	Sahibinden	Toyota	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265464	ANKARA / MAMAK / KAYAŞ MAHALLESİ	
1.6 ELX	 24.750 TL 	2001	1581 cc	249.500 km	LPG & Benzin	Brava	Sahibinden	Fiat	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12263987	BİLECİK / SÖĞÜT / KAYHAN MAHALLESİ	
SLX	 14.000 TL 	1993	1581 cc	50.000 km	LPG & Benzin	Doğan	Galeriden	Tofaş	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	10217044	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
1.5 dCi Joy	 57.900 TL 	2013	1461 cc	59.000 km	Dizel	Fluence	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	11 Eylül 2019	12243312	ERZİNCAN / ÜZÜMLÜ / YUNUS EMRE MAHALLESİ	
1.5 dCi Joy	 59.750 TL 	2016	1461 cc	128.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun	1 boyalı	Düz	12 Eylül 2019	12254568	SAMSUN / İLKADIM / DERECİK MAHALLESİ	
1.4 T Sport	 89.750 TL 	2015	1364 cc	45.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265601	İSTANBUL / BAĞCILAR / 100. YIL MAHALLESİ	
1.6 TDi BlueMotion Highline	 249.900 TL 	2017	1401 - 1600 cm3	64.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264693	ZONGULDAK / MERKEZ / TERAKKİ MAHALLESİ	
1.6 Multijet Comfort	 87.500 TL 	2018	1598 cc	50.000 km	Dizel	Egea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265387	İSTANBUL / SULTANGAZİ / CEBECİ MAHALLESİ	
1.6 Enjoy Plus	 57.500 TL 	2013	1598 cc	71.000 km	LPG & Benzin	Astra	Galeriden	Opel	Takasa Uygun Değil	2 değişen	Düz	10 Eylül 2019	12229633	DİYARBAKIR / YENİŞEHİR / FABRİKA MAHALLESİ	
1.4 Trendline	 41.000 TL 	2006	1390 cc	179.237 km	Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun	1 değişen, 2 boyalı	Düz	13 Eylül 2019	12265134	MALATYA / YEŞİLYURT / 1. OSB	
1.4 Dynamique	 26.500 TL 	2001	1201 - 1400 cm3	133.000 km	Benzin	Clio	Sahibinden	Renault	Takasa Uygun Değil	2 boyalı	Düz	14 Eylül 2019	12265058	İSTANBUL / ESENLER / HAVAALANI MAHALLESİ	
2.0 TDi BlueMotion Comfortline	 149.000 TL 	2015	1801 - 2000 cm3	116.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264889	İSTANBUL / TUZLA / EVLİYA ÇELEBİ MAHALLESİ	
1.4 TSi BlueMotion Comfortline	 97.500 TL 	2012	1390 cc	98.000 km	Benzin	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12263617	KÜTAHYA / MERKEZ / ZAFERTEPE MAHALLESİ	
1.3 Multijet Pop	 57.250 TL 	2015	1201 - 1400 cm3	80.000 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12261166	KASTAMONU / MERKEZ / İNÖNÜ MAHALLESİ	
1.6 CDTI Sport	 103.000 TL 	2014	1598 cc	45.000 km	Dizel	Astra	Sahibinden	Opel	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12264688	ISPARTA / MERKEZ / FATİH MAHALLESİ	
1.6 TDI Sport Tourer X-Perience	 128.500 TL 	2015	1598 cc	46.000 km	Dizel	Leon	Sahibinden	Seat	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12264102	İSTANBUL / ÇEKMEKÖY / HÜSEYİNLİ MAHALLESİ	
1.4 Ambiance	 32.500 TL 	2009	1390 cc	186.000 km	LPG & Benzin	Logan	Sahibinden	Dacia	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265789	SAMSUN / İLKADIM / KIŞLA MAHALLESİ	
1.5 CRDi Comfort Plus	 36.500 TL 	2007	1493 cc	166.000 km	Dizel	Getz	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265031	AYDIN / NAZİLLİ / NAZİLLİ OSB	
1.5 dCi Expression	 41.000 TL 	2009	1401 - 1600 cm3	198.000 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Otomatik	13 Eylül 2019	12264510	İSTANBUL / ŞİŞLİ / H. RIFAT PAŞA MAHALLESİ	
1.6 Ghia	 38.000 TL 	1999	1596 cc	175.000 km	Benzin	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263570	KÜTAHYA / MERKEZ / FUATPAŞA MAHALLESİ	
1.6 HDi Exclusive	 56.950 TL 	2014	1560 cc	123.000 km	Dizel	C-Elysee	Yetkili Bayiden	Citroen	Takasa Uygun	1 boyalı	Düz	13 Eylül 2019	12263904	ANKARA / ALTINDAĞ / ÖRNEK MAHALLESİ	
1.6 HDi Access	 57.750 TL 	2012	1560 cc	105.000 km	Dizel	308	Sahibinden	Peugeot	Takasa Uygun	1 boyalı	Düz	14 Eylül 2019	12265119	İSTANBUL / SULTANGAZİ / YUNUS EMRE MAHALLESİ	
1.6 TDCi Trend X	 59.650 TL 	2012	1560 cc	182.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12215207	KONYA / KARATAY / FEVZİÇAKMAK MAHALLESİ	
A3 Sedan 1.6 TDI Attraction	 124.100 TL 	2016	1598 cc	85.000 km	Dizel	A3	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12019348	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.6 Europa RTE	 19.500 TL 	1998	1598 cc	220.000 km	LPG & Benzin	R 19	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	9593777	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
1.6 Elegance	 36.000 TL 	2003	1595 cc	284.000 km	LPG & Benzin	Octavia	Sahibinden	Skoda	Takasa Uygun Değil	3 boyalı	Düz	14 Eylül 2019	12264608	KONYA / MERAM / BÜYÜK KOVANAĞZI MAHALLESİ	
1.5 dCi Stepway	 56.900 TL 	2012	1401 - 1600 cm3	119.000 km	Dizel	Sandero	Galeriden	Dacia	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263808	TRABZON / OF / İRFANLI MAHALLESİ	
1.4 TDCi Trend	 56.500 TL 	2012	110.000 km	Dizel	Fiesta	Sahibinden	Ford	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12265283	ADIYAMAN / MERKEZ / BAHÇELİEVLER MAHALLESİ	
1.4 TSi Trendline	 59.750 TL 	2010	1390 cc	170.000 km	Benzin	Golf	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265580	KONYA / KARATAY / FEVZİÇAKMAK MAHALLESİ	
1.6 TDCi Titanium	 92.900 TL 	2015	1560 cc	147.249 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun Değil	4 boyalı	Düz	13 Eylül 2019	12264690	İZMİR / GAZİEMİR / MERKEZ	
1.2 S	 18.500 TL 	2000	1242 cc	175.000 km	Benzin	Siena	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265637	İSTANBUL / ESENYURT / GÖKEVLER MAHALLESİ	
1.6 Cosmo	 53.750 TL 	2010	1598 cc	138.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12259106	ANTALYA / MANAVGAT / BAHÇELİEVLER MAHALLESİ	
1.6 TDi BlueMotion Trendline	 112.000 TL 	2014	1598 cc	108.306 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	1 değişen, 2 boyalı	Yarı Otomatik	10 Eylül 2019	12237930	İSTANBUL / ŞİŞLİ / TEŞVİKİYE MAHALLESİ	
1.5 TDCi Trend X	 88.500 TL 	2016	1401 - 1600 cm3	119.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun Değil	1 boyalı	Yarı Otomatik	13 Eylül 2019	12264328	ANKARA / ALTINDAĞ / ZÜBEYDE HANIM MAHALLESİ	
1.5 dCi Joy	 49.900 TL 	2016	1461 cc	181.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265293	İSTANBUL / MALTEPE / BAĞLARBAŞI MAHALLESİ	
1.6 Admire	 37.000 TL 	2005	1599 cc	168.000 km	LPG & Benzin	Accent	Sahibinden	Hyundai	Takasa Uygun Değil	2 boyalı	Düz	13 Eylül 2019	12263623	OSMANİYE / MERKEZ / FAKIUŞAĞI MAHALLESİ	
1.6 Edition Plus	 84.000 TL 	2017	1598 cc	7.000 km	Benzin	Astra	Sahibinden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12263847	İZMİR / KARŞIYAKA / ZÜBEYDE HANIM MAHALLESİ	
1.5 dCi Expression	 38.500 TL 	2012	1461 cc	176.000 km	Dizel	Symbol	Sahibinden	Renault	Takasa Uygun Değil	2 boyalı	Düz	13 Eylül 2019	12263746	KONYA / EREĞLİ / MEHMET AKİF MAHALLESİ	
1.5 dCi Touch	 90.000 TL 	2014	1461 cc	85.806 km	Dizel	Scenic	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265142	İSTANBUL / BEYKOZ / ACARLAR MAHALLESİ	
A4 Sedan 2.0 TFSI Quattro	 53.000 TL 	2007	1984 cc	199.000 km	Benzin	A4	Sahibinden	Audi	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265176	AYDIN / EFELER / EFELER MAHALLESİ	
S4 3.0 TFSI Quattro	 227.500 TL 	2010	2995 cc	101.000 km	Benzin	S	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	11 Eylül 2019	12246843	İSTANBUL / KADIKÖY / GÖZTEPE MAHALLESİ	
200 Elegance	 57.500 TL 	1997	1998 cc	450.000 km	LPG & Benzin	E	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Otomatik	12 Eylül 2019	11726687	AFYONKARAHİSAR / BOLVADİN / BAĞLARBAŞI MAHALLESİ	
1.6 Ambiente	 26.900 TL 	1999	1596 cc	330.000 km	Benzin	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	11 Eylül 2019	12243309	ERZİNCAN / ÜZÜMLÜ / YUNUS EMRE MAHALLESİ	
1.6 Titanium	 77.500 TL 	2015	1596 cc	45.000 km	Benzin	Fiesta	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12234613	SAMSUN / ÇARŞAMBA / SUNGURLU MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 102.000 TL 	2012	1598 cc	133.750 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265627	ŞANLIURFA / KARAKÖPRÜ / AKBAYIR MAHALLESİ	
218i M Sport	 147.500 TL 	2015	1401 - 1600 cm3	42.000 km	Benzin	2 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264602	İSTANBUL / KADIKÖY / MERDİVENKÖY MAHALLESİ	
1.2 Dynamic	 26.500 TL 	2006	1242 cc	125.000 km	LPG & Benzin	Panda	Sahibinden	Fiat	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265772	HATAY / BELEN / MUHLİSALİ MAHALLESİ	
180 D AMG	 144.500 TL 	2014	1401 - 1600 cm3	155.000 km	Dizel	CLA	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265493	KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ	
1.5 dCi Visia	 47.500 TL 	2014	1461 cc	200.000 km	Dizel	Note	Galeriden	Nissan	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12265091	ANKARA / ÇANKAYA / ÜMİT MAHALLESİ	
1.6 Trend	 49.500 TL 	2008	1596 cc	182.500 km	LPG & Benzin	Focus	Sahibinden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264109	ANKARA / PURSAKLAR / SARAY CUMHURİYET MAHALLESİ	
1.2 TCe Touch	 94.500 TL 	2016	1198 cc	37.000 km	Benzin	Megane	Sahibinden	Renault	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	14 Eylül 2019	12265567	BALIKESİR / EDREMİT / CENNETAYAĞI MAHALLESİ	
1.3 Multijet EL	 24.000 TL 	2004	1248 cc	203.000 km	Dizel	Palio	Sahibinden	Fiat	Takasa Uygun	3 değişen, 3 boyalı	Düz	14 Eylül 2019	12265107	KONYA / KARATAY / MERKEZ	
1.6 TS Distinctive	 41.500 TL 	2007	1598 cc	144.947 km	Benzin	147	Galeriden	Alfa Romeo	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265005	İSTANBUL / BEYKOZ / ACARLAR MAHALLESİ	
1.5 dCi Touch Plus	 65.000 TL 	2014	1401 - 1600 cm3	145.000 km	Dizel	Fluence	Galeriden	Renault	Takasa Uygun	4 boyalı	Otomatik	14 Eylül 2019	12067702	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
190 D 2.0	 19.750 TL 	1984	1997 cc	247.000 km	Dizel	190	Sahibinden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265182	İZMİR / ÇİĞLİ / ATATÜRK OSB	
1.5 dCi Expression	 58.750 TL 	2012	1461 cc	48.000 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265459	İSTANBUL / KADIKÖY / DUMLUPINAR MAHALLESİ	
2.0 TDCi Trend	 58.750 TL 	2011	1801 - 2000 cm3	199.000 km	Dizel	Mondeo	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265645	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.4 D-4D Advance	 82.750 TL 	2015	1201 - 1400 cm3	124.000 km	Dizel	Corolla	Galeriden	Toyota	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265529	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.5 dCi Executive	 50.000 TL 	2010	1461 cc	90.000 km	Dizel	Clio	Sahibinden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265614	İSTANBUL / BAŞAKŞEHİR / BAŞAKŞEHİR MAHALLESİ	
1.4 D-4D Elegant	 78.500 TL 	2013	1364 cc	125.000 km	Dizel	Corolla	Galeriden	Toyota	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264590	ADIYAMAN / MERKEZ / SİTELER MAHALLESİ	
1.6 TDI Prestige	 104.750 TL 	2014	1601 - 1800 cm3	180.000 km	Dizel	SuperB	Galeriden	Skoda	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264425	İSTANBUL / BAHÇELİEVLER / BAHÇELİEVLER MAHALLESİ	
1.6 RTE	 21.900 TL 	1999	1598 cc	225.000 km	Benzin	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	11655053	KIRIKKALE / MERKEZ / YENİMAHALLE MAHALLESİ	
A4 Sedan 2.0 TDI Dynamic	 199.750 TL 	2016	1801 - 2000 cm3	98.000 km	Dizel	A4	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265546	ANKARA / AKYURT / SARACALAR MAHALLESİ	
2.0 CD	 24.500 TL 	1997	1998 cc	290.000 km	LPG & Benzin	Vectra	Sahibinden	Opel	Takasa Uygun Değil	2 değişen	Düz	14 Eylül 2019	12265188	MANİSA / YUNUSEMRE / GÜZELYURT MAHALLESİ	
1.2 Dynamic	 17.900 TL 	2006	1242 cc	189.000 km	Benzin	Albea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	05 Eylül 2019	12200735	HATAY / ANTAKYA / HARAPARASI MAHALLESİ	
A3 Sportback 1.6 Sportback Ambition	 56.000 TL 	2006	1595 cc	199.000 km	LPG & Benzin	A3	Sahibinden	Audi	Takasa Uygun Değil	1 değişen, 3 boyalı	Otomatik	13 Eylül 2019	12263606	HATAY / ANTAKYA / ESENTEPE MAHALLESİ	
1.6 Midline	 75.500 TL 	2014	1401 - 1600 cm3	166.600 km	Dizel	Golf	Galeriden	Volkswagen	Takasa Uygun Değil	1 değişen, 6 boyalı	Düz	13 Eylül 2019	12263610	BOLU / MERKEZ / AŞAĞISOKU MAHALLESİ	
1.6 Trendline	 59.900 TL 	2006	1401 - 1600 cm3	190.000 km	Benzin	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Otomatik	14 Eylül 2019	12252277	ANKARA / ÇANKAYA / ÇAYYOLU MAHALLESİ	
1.5 dCi Joy	 56.500 TL 	2013	1461 cc	162.000 km	Dizel	Fluence	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	10 Eylül 2019	12237152	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.2 VTi DStyle	 74.000 TL 	2014	1199 cc	55.000 km	Benzin	DS3	Galeriden	DS Automobiles	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265647	BURSA / YILDIRIM / YİĞİTLER MAHALLESİ	
1.4 EcoTSI FR	 99.500 TL 	2015	1395 cc	65.000 km	Benzin	Leon	Galeriden	Seat	Takasa Uygun	Belirtilmemiş	Düz	09 Eylül 2019	11788619	İSTANBUL / PENDİK / ŞEYHLİ MAHALLESİ	
A6 Sedan 2.0 TDI	 110.000 TL 	2010	1801 - 2000 cm3	240.000 km	Dizel	A6	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265408	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.8 Hybrid Flame X-Pack	 162.000 TL 	2019	1601 - 1800 cm3	14.000 km	LPG & Benzin	Corolla	Yetkili Bayiden	Toyota	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12263913	ANKARA / ALTINDAĞ / ÖRNEK MAHALLESİ	
1.6	 15.500 TL 	1995	1581 cc	125.000 km	LPG & Benzin	Şahin	Sahibinden	Tofaş	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264614	MANİSA / SOMA / ATATÜRK MAHALLESİ	
1.4 Authentique	 29.750 TL 	2004	1390 cc	120.000 km	Benzin	Clio	Sahibinden	Renault	Takasa Uygun Değil	6 boyalı	Düz	14 Eylül 2019	12264970	TEKİRDAĞ / ÇERKEZKÖY / GAZİ MUSTAFA KEMALPAŞA MAHALLESİ	
1.5 TDCi Titanium	 104.500 TL 	2016	1401 - 1600 cm3	91.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264719	ANTALYA / MURATPAŞA / YEŞİLKÖY MAHALLESİ	
1.6 Sport	 58.500 TL 	2013	1598 cc	80.000 km	Benzin	Cruze	Galeriden	Chevrolet	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263605	KÜTAHYA / MERKEZ / FUATPAŞA MAHALLESİ	
1.2 TSi Comfortline	 88.000 TL 	2016	1197 cc	47.000 km	Benzin	Golf	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	10 Eylül 2019	12236634	İSTANBUL / ŞİŞLİ / DUATEPE MAHALLESİ	
1.3 Multijet Pop	 52.000 TL 	2016	1248 cc	137.500 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	2 boyalı	Düz	28 Ağustos 2019	11938675	BOLU / MERKEZ / AŞAĞISOKU MAHALLESİ	
